2198394	1	1	153232	CL
2198394	1	154679	2443897	CC
2198394	1	2444859	5358114	CL
2198394	1	5358608	9482236	CC
2198394	1	9482343	9774441	CL
2198394	1	9774967	19335251	LL
2198394	1	19335401	20538656	CL
2198394	1	20539215	30427671	LL
2198394	2	1	1540623	LL
2198394	2	1541078	10804156	CL
2198394	2	10805000	14209711	CC
2198394	2	14210718	19484001	CL
2198394	2	19484182	19698289	CC
2198394	3	1	3351482	CC
2198394	3	3352190	4982119	CL
2198394	3	4982230	7377630	LL
2198394	3	7378141	8713679	CL
2198394	3	8713896	20378085	LL
2198394	3	20378231	23459830	CL
2198394	4	1	18585056	CL
2198394	5	1	4268281	CC
2198394	5	4268971	5206366	CL
2198394	5	5206625	5934568	LL
2198394	5	5934574	7706499	CL
2198394	5	7706603	8944727	LL
2198394	5	8945260	15846621	CL
2198394	5	15846763	17892630	CC
2198394	5	17892878	20095839	CL
2198394	5	20096213	24728661	CC
2198394	5	24730381	26013040	CL
2198394	5	26013618	26975502	LL
